"elementnummer";"elementtekst";"underelementnummer";"underelementtekst"
10;"Græs";1010;"Prydplæne"
10;"Græs";1020;"Brugsplæne"
10;"Græs";1030;"Græsflade"
10;"Græs";1040;"Fælledgræs"
10;"Græs";1050;"Kampbaner"
10;"Græs";1060;"Rabatgræs"
10;"Græs";1070;"Naturgræs"
12;"Blomster";1210;"Rosenbede"
12;"Blomster";1220;"Stauder"
12;"Blomster";1230;"Staudebede"
12;"Blomster";1240;"Stauder"
12;"Blomster";1250;"Baljeplanter"
12;"Blomster";1260;"Løg"
12;"Blomster";1270;"Bed"
16;"Buske";1610;"Klippet hæk"
16;"Buske";1620;"Bunddækkende buske"
16;"Buske";1630;"Busket"
18;"Hæk";1810;"Prydhæk"
18;"Hæk";1820;"Hæk"
18;"Hæk";1830;"Hæk"
18;"Hæk";1840;"Hæk"
22;"Skov";2220;"Krat"
22;"Skov";2230;"Lund"
22;"Skov";2240;"Skov"
22;"Skov";2250;"Levende hegn"
26;"Gravsted";2610;"Pleje"
26;"Gravsted";2620;"Udvidet pleje"
26;"Gravsted";2630;"Ydelse"
30;"Vand";3010;"Bassin"
30;"Vand";3020;"Sø"
30;"Vand";3030;"Vandløb"
30;"Vand";3040;"Strand"
30;"Vand";3050;"Sø"
40;"Fast belægning";4010;"Faste belægninger"
40;"Fast belægning";4020;"Fortorv"
41;"Løs belægning";4120;"Løse belægninger"
41;"Løs belægning";4130;"Natursti"
42;"Sportsbelægning";4240;"Sportsbelægninger"
41;"Løs belægning";4140;"Løse belægninger"
43;"Bygværker";4310;"Bygværker"
43;"Bygværker";4320;"Bygværker"
43;"Bygværker";4330;"Bygværker"
43;"Bygværker";4340;"Bygning"
98;"Andet";9800;"Andet"
99;"Ukendt";9900;"Ukendt"
98;"Andet";9810;"Faskiner"
98;"Andet";9820;"Skaterpark"
