"trussel_vand_kode";"trussel_vand";"aktiv";"begrebsdefinition"
1;"Ingen aktuelle";1;"Ingen kendte trusler kendt pt."
2;"Fiskeri";1;"Fiskeri med gran, ruser eller stang"
3;"Kemisk forurening";1;"Udsivning fra jordforurening, tilløb fra vandløb med kendte kemiske problemer m.v."
4;"Næringsstoffer";1;"Tilførsel af næringsstoffer fra omkring liggende landbrug/marker."
5;"Sejlads";1;"Sejlads med kanoer, motorbåde m.v. ødelægger plantelivet m.v."
6;"Sandvandring/bundfældning";1;"Tilløb aflejrer sand, okker m.v. og fylder dermed søen op over tid."
7;"Tilgroning";1;"Siv og andre planter er i gang med at dække vandoverfladen og kan på sigt få det frie vandspejl til at forsvinde."
8;"Udsætning af fisk";1;"Der udsættes/har været udsat fisk og der ændre balancen i søen."
9;"Udtørring";1;"Vandstanden svinder f.eks. P.g.a. vandindvinding i området/søoplandet."
10;"Ænder";1;"Udsætning/fodring af ænder giver for meget næring."
11;"Spildevand";1;"Spildevand fra ejendomme"
97;"Flere trusler";1;"Flere af trusselsmulighederne er relevante i høj grad."
98;"Andet";1;"En trussel der ikke passer ind på ovenstående."
