"p_tid_kode";"p_tid";"aktiv";"begrebsdefinition"
1;"Max 1 time";1;"Parkering er tilladt i op til 1 time."
2;"Max 2 timer";1;"Parkering er tilladt i op til 2 timer."
3;"Max 3 timer";1;"Parkering er tilladt i op til 3 timer."
4;"Max 4 timer";1;"Parkering er tilladt i op til 4 timer."
5;"Max 5 timer";1;"Parkering er tilladt i op til 5 timer."
6;"Max 6 timer";1;"Parkering er tilladt i op til 6 timer."
7;"Max 7 timer";1;"Parkering er tilladt i op til 7 timer."
8;"Max 8 timer";1;"Parkering er tilladt i op til 8 timer."
9;"Max 9 timer";1;"Parkering er tilladt i op til 9 timer."
10;"Max 10 timer";1;"Parkering er tilladt i op til 10 timer."
11;"Max 11 timer";1;"Parkering er tilladt i op til 11 timer."
12;"Max 12 timer";1;"Parkering er tilladt i op til 12 timer."
13;"Max 24 timer";1;"Parkering er tilladt i op til 24 timer"
14;"Max 48 timer";1;"Parkering er tilladt i op til 48 timer"
15;"Max 15 minutter";1;"Parkering er tilladt i op til 15 minutter."
30;"Max 30 minutter";1;"Parkering er tilladt i op til 30 minutter."
45;"Max 45 minutter";1;"Parkering er tilladt i op til 45 minutter."
97;"Uden begrænsning";1;"Ingen restriktion på parkeringens længde"
98;"Andet";1;"Anden værdi end muligt at vælge i ovenstående liste."
99;"Ukendt";1;"Mangler viden om tidsbegrænsning."
