"grund_type_kode";"grund_type";"aktiv";"begrebsdefinition"
1;"Byggegrund - parcelhus";1;"Grund med ret til at bygge en bolig – parcelhus"
2;"Byggegrund - sommerhus";1;"Grund med ret til at bygge en fritidsbolig – sommerhus"
3;"Byggegrund - storparcel";1;"Grund med ret til at bygge flere boligere – parcelhus, rækkehus, boligblok m.v."
4;"Byggegrund - Erhverv";1;"Grund med ret til at bygge erhvervsbyggeri"
5;"Landbrugsjord/mark";1;"Mark/landbrugsjord med ret til at dyrke jorden"
6;"Parcelhus på egen grund";1;"Eksisterende parcelhus bygget på egen grund"
7;"Rækkehus på egen grund";1;"Eksisterende rækkehus bygget på egen grund"
8;"Dobbelthus på egen grund";1;"Eksisterende dobbelthus bygget på egen grund – en bolig/½dobbelthus"
9;"Ejerlejlighed";1;"Eksisterende lejlighed"
10;"Erhvervsbyggeri på egen grund";1;"Eksisterende erhvervsbyggeri på egen grund"
11;"Byggegrund - jordbrugsparcel";1;"Grund med ret til at bygge en bolig med mulighed for mindre dyrehold eller stor have/udenomsareal"
98;"Anden fast ejendom";1;"Hvor andre ejendomstype ikke er dækkende"
