"an_distrikt_type_kode";"an_distrikt_type";"aktiv";"begrebsdefinition"
1;"Projektområder";1;"Projektområder til Plan & Projekt"
2;"-";0;"-"
3;"-";0;"-"
4;"-";0;"-"
5;"-";0;"-"
6;"Social";1;"Socialdistrikter"
7;"-";0;"-"
8;"-";0;"-"
9;"-";0;"-"
10;"Ejendomsdrift";1;"Ejendomsdriftsdistrikter"
11;"-";0;"-"
12;"Kontantydelse";1;"Kontantydelsesdistrikter"
13;"Handelsopland";1;"Område, hvorfra borgere vil søge til byområde med indkøb, serviceinstitutioner, kulturtilbud m.m. Registreres kun indenfor egen kommunegrænse."
98;"Andet";1;"Andre distrikter"
99;"Ukendt";1;"Ukendt"
