"udd_institution_type_kode";"udd_institution_type";"aktiv";"begrebsdefinition"
1;"Vuggestue";1;"Pasningstilbud for børn 0-3 år."
2;"Børnehave";1;"Pasningstilbud for børn 3-6 år."
3;"Integreret Institution";1;"Pasningstilbud for børn 0-6 år."
4;"SFO";1;"Pasnings-/fritidstilbud for skolebørn efter skoletid+ferier"
5;"Fritidsklub";1;"Fritidstilbud for skolebørn 10-13 år."
6;"Ungdomsklub";1;"Klub for store børn og unge, der er vokset fra pasningsordninger."
7;"Folkeskole";1;"Den kommunale børneskole i Danmark, der kan består af en enårig børnehaveklasse, en niårig grundskole og en enårig tiendeklasse."
8;"Privatskole";1;"Privatejet skole, der drives som en fri grundskole. Har gerne et religiøst, pædagogisk eller kulturelt særkende."
9;"Friskole";1;"fri grundskole, der ud fra en særlig grundholdning, fx religiøs, giver undervisning svarende til folkeskolens krav. Friskoletanken stammer fra Grundtvig og Christen Kold."
10;"Ungdomsskole";1;"Skoleform for unge mellem 14 og 18 år. Betegnelsen angiver nu sædvanligvis kommunale institutioner, som overvejende tilbyder undervisning i de unges fritid"
11;"Efterskole";1;"speciel dansk skoleform for unge mellem 14 og 18 år"
12;"Dagpleje";1;"Dagpleje"
13;"-";0;"-"
14;"-";0;"-"
15;"-";0;"-"
16;"-";0;"-"
17;"-";0;"-"
18;"-";0;"-"
19;"-";0;"-"
20;"-";0;"-"
21;"-";0;"-"
22;"-";0;"-"
23;"Specialskole";1;"En specialskole er en skole for elever, som vurderes ikke at ville kunne følge den normale undervisning i folkeskolen. Eksempler på sådanne elever er døve eller blinde elever, samt elever med autisme, ADHD eller lignende handicaps."
24;"Musikskole";1;"På en musikskole undervises elever i musikalsk teori (som fx noder og toner) og i at bruge et eller flere musikinstrumenter."
25;"Højskole";1;"Folkehøjskoler var oprindeligt skoler for voksne mænd og kvinder, hvor der blev givet en undervisning, som tog sigte på at gøre dem til gode statsborgere. Med tiden er fokus blevet mere på personlig udvikling, og ofte specialiserer de enkelte skoler sig særligt i dele af dette."
26;"Produktionsskole";1;"Produktionsskolen er et praktisk uddannelsestilbud, baseret på værkstedundervisning"
27;"Naturskole";1;"En skole der supplere folkeskolens undervisning, så børn og unge gennem egne oplevelser får indblik i sammenhænge i naturen og dermed øget ansvarsbevidsthed over for natur og miljø."
28;"Gymnasium";1;"Gymnasium, almendannende og dermed studieforberedende ungdomsuddannelse. Siden 1903 har betegnelsen været brugt om de tre skoleår forud for studentereksamen."
29;"Universitet";1;"Universitet, højeste læreanstalt for uddannelse og forskning. Et universitet defineres traditionelt som en institution, der har stor faglig bredde og rummer fag inden for de humanistiske, teologiske, juridiske, samfunds-, sundheds- og naturvidenskabelige discipliner."
98;"Øvrige institutioner og tilbud";1;"Andre typer institutioner."
99;"Ukendt";1;"Ukendt institutiostype."
