"facilitet_kode";"facilitet";"aktiv";"begrebsdefinition"
1031;"Legeplads";1;"En legeplads er et afgrænset sted udendørs, som er tilrettelagt for at børn kan lege der."
1041;"Naturlegeplads";1;"Legeplads ude i naturen typisk bygget med naturens egne matrialer. Træstammer og sten m.v."
1051;"Badestrand";1;"Område, der anvendes til badning."
1061;"Blå Flag strand";1;"Badeområde, der er tildelt Blå Flag."
1091;"Friluftsbad/Svømmebad";1;"Område med et eller flere badebassinner, der kan være overdækket eller under åben himmel. Dækker også havnebad."
1191;"Hundeskov/Hundepark";1;"Særligt udpeget og eventuelt indhegnet område for hundeluftning. Kommunale og private områder."
1201;"Picnic";1;"Plads med borde, siddepladser, evt. hængekøjer og andre ting til roligt ophold."
1211;"Vandlegeplads";1;"Legeplads med særlige redskaber og faciliteter til leg med vand."
2031;"Fiskesø";1;"Put&take sø. Sted hvor man kan købe dagskort til at fiske efter udsatte fisk."
2041;"Rekreativt naturområde";1;"Naturområde hvor borgere kan opholde sig og rekreere. Fordybelsessted."
2051;"Park";1;"Grønt byområde anlagt med en blanding af buske, træer, blomster og græs."
2111;"Naturpark";1;"Naturpark af regional betydning, jf. mærkningsordning ved Friluftsrådet."
2121;"Nationalpark";1;"Nationalpark anerkendt af staten."
2141;"Terapihave";1;"Specielt indrettede haveanlæg med terapeutisk og stressforebyggende formål."
2151;"Spiselig vegetation";1;"Areal med offentligt tilgængelige spiselige planter, frugt, nødder, grønsager mm."
2161;"Oplevelsespunkt";1;"Plads i naturområde eller friluftsanlæg med mulighed for ophold, naturoplevelser, evt. lån af grej, bålplads, information mm. Herunder oplevelsespunkt i havne f.eks. kaldet Oplevelseshavn."
3031;"Teltplads";1;"Sted til at slå telt op for overnatning."
3041;"Campingplads";1;"Overnatningssted til campingvogne og telte."
3051;"Hytter og Lejrskoler";1;"Udlejningshytter med plads til mange. Typiske med sovesale og storkøkken."
3061;"Feriecenter";1;"En samling ferielejligheder, der danner rammen om familiens ophold på feriecenteret, samt en række fælles faciliteter, hvor der tilbydes en bred vifte af aktiviteter."
4011;"Idrætshal";1;"Kaldes også for sportshal. Stor hal hvor i der kan dyrkes en eller flere former for fysisk sport."
4021;"Svømmehal";1;"Opvarmet svømmebassin inde i en bygning."
4031;"Idrætsanlæg";1;"Bane hvor på der kan dyrkes en eller flere former for fysisk sport, f.eks. atletik, fodbold, baseball mm."
4041;"Cykelbane";1;"Område til fx MTB og BMX."
4051;"Agilitybane";1;"Agilitybane er en hundesportsbane, hvor hundene skal tage en række forhindringer korrekt og i den rette rækkefølge."
4061;"Modelflyveplads";1;"”Lufthavn” for modelflyvere."
4071;"Skøjtebane";1;"Bane til skøjteløb om vinteren på søer eller kunstige isbaner i byer både indendørs og udendørs."
4081;"Minigolfbane";1;"Anlæg til at spille minigolf på, hvor banelængden normalt er under 10 m."
4091;"Golfbane";1;"En golfbane er et idrætsanlæg, hvorpå man spiller golf. Den består af et antal huller, oftest 18, men for mindre baners vedkommende 9, mens store baner kan have 27 eller 36 huller."
4101;"Discgolfanlæg";1;"Område med udpegede fairways og opstillede ”kurve” til spillet frisbee-golf/discgolf."
4111;"Boldbane";1;"Baner indrettet til boldspil."
4121;"Skydebaneanlæg";1;"En eller flere baner til skydning, fx kort- og langdistanceskydning."
4161;"Rideanlæg";1;"Placering for ridecenter eller –klub."
4191;"Kitesurf område";1;"Område anvist til kitesurfing."
4201;"Windsurfområde";1;"Område anvist til windsurfing."
4211;"Kitebuggyområde";1;"Område anvist til kørsel med kitebuggy."
4231;"Flugtskydningsbane";1;"Lerdueskydningsbane."
4241;"Motorsportsbane";1;"Bane, hvor der udøves motorsport."
4251;"Ketchersportsanlæg";1;"Udendørs og/eller indendørs anlæg eller bane til ketchersport, herunder tennis og squash."
4281;"Cricketbane";1;"Bane til spillet Cricket"
4291;"Krolfbane";1;"Bane til spillet Krolf"
4301;"UV-jagtspot";1;"Område der er velegnet til undervands-jagt."
5011;"Forsamlingshus";1;"Et forsamlingshus er byens kulturhus og mødested."
5021;"Museum";1;"Museum er en permanent institution med udstilling og formidling af f.eks. kunst, kulturhistorie eller naturhistorie."
5031;"Teater";1;"Sted, hvor der opføres teater eller andre kulturelle opførelser. Herunder også amfiteater."
5041;"Forlystelsesanlæg";1;"En park med flere faste forlystelser, typisk for hele familien."
5051;"Biograf";1;"En biograf er et sted, sædvanligvis en bygning, hvor man fremviser film."
5061;"Foreningshus";1;"Hus der kan huse en række forskellige foreningers aktiviteter og administration."
6011;"Bådplads";1;"Fortøjningssted til både/joller."
6021;"Rostadion";1;"Område på sø til konkurrence roning."
6031;"Umotoriseret sejlads tilladt";1;"Område, hvor det er tilladt at sejle i kano el. lign. Udpeges f.eks. på vandflade, hvor der ellers er generelt sejlforbud."
9981;"Andet";1;"Hvor andre facilitetsbetegnelser ikke er dækkende."
9991;"Ukendt";1;"Mangler viden om typen."
