"facilitetl_type_kode";"facilitetl_type";"aktiv";"begrebsdefinition"
1;"Skirute";1;"Skiløberute på afmærkede og uafmærkede ruter i naturen."
2;"Løberute";1;"Løberute på afmærkede og uafmærkede ruter langs veje og i naturen."
3;"Cykelrute";1;"Rute for cykler, afmærket på kort og evt. i terræn."
4;"Mountainbikerute";1;"Afmærket eller uafmærket rute for mountainbikes."
5;"Vandrerute";1;"Rute velegnet til vandring."
6;"Motionsrute";1;"Rute udpeget til motionsformål – typisk løb eller gang."
7;"Undervandsrute";1;"Afmærket eller uafmærket rute under vand for snorkeldykkere/dykkere."
8;"Riderute";1;"Afmærket eller uafmærket rute til færdsel til hest."
9;"Sejlrute";1;"Afmærket eller uafmærket rute for kano- og kajak-sejlads."
10;"Gratis fiskeri";1;"Strækning med gratis fiskeri."
11;"Rekreativ sti";1;"Vandresti med fokus på det rekreative."
12;"Adgangsvej";1;"Sti eller spor med fri adgang, der fører hen til facilitet."
98;"Andet";1;"Hvor andre facilitetsbetegnelser ikke er dækkende."
99;"Ukendt";1;"Mangler viden om typen."
