"vedlhold_p_type_kode";"vedlhold_p_type";"aktiv";"vedlhold_p_type_label";"begrebsdefinition"
128000;"Baljeplante";1;"BL8";"branche element"
142000;"Solitære slyng- og klatreplante";1;"KL2";"Branche element"
142010;"Plantestativ";1;"KL2a";"lokal"
161200;"Prydbusk (solitær/fritstående) - punkt";1;"BU11a";"Lokal. OBS Prydbusk findes også som linje-element"
201000;"Fuldkronet træ";1;"TR1";"branche element"
201010;"Vejtræ - åbenland";1;"TR1a";"lokal"
202000;"Allé træ";1;"TR2";"branche element"
203000;"Frugttræ";1;"TR3";"branche element"
204000;"Formet træ";1;"TR4";"Branche element"
204010;"Formet træ - formklippet";1;"TR4a";"lokal"
204020;"Formet træ - knudebeskåret";1;"TR4b";"lokal"
204030;"Formet træ - stammehæk";1;"TR4c";"branche underelement"
204040;"Formet træ - stynet";1;"TR4d";"lokal"
205010;"Veteraniseret træ";1;"TR5a";"lokal"
432110;"Overkørsel";1;"BY21a";"lokal"
433100;"Badebro";1;"BY31";"lokal"
434020;"Shelter";1;"BY4b";"lokal"
434030;"Toilet";1;"BY4c";"lokal"
436000;"Øvrige bygværker";1;"BY6";"branche element"
436010;"Pullert";1;"BY6a";"lokal"
436020;"Stele";1;"BY6b";"lokal"
436030;"Natursten";1;"BY6c";"lokal"
436040;"Km-sten";1;"BY6d";"lokal"
436050;"Flagstang";1;"BY6e";"lokal"
439000;"Monument / mindesten / skulptur";1;"BY9";"branche element"
441000;"Affaldsspand";1;"UD1";"lokal"
441100;"Affaldsbeholder til grønt affald";1;"UD11";"lokal"
441800;"Vandpost / drikkepost (Vandhane)";1;"UD18";"lokal"
441810;"Springvand";1;"UD18a";"lokal"
441820;"Nedløbsrist/sandfang";1;"UD18b";"lokal"
441830;"Stophane";1;"UD18c";"lokal"
441840;"Brønd";1;"UD18d";"lokal"
442000;"Bænk og bordbænkesæt";1;"UD2";"lokal"
442010;"Bænk";1;"UD2a";"lokal"
442020;"Bordbænkesæt";1;"UD2b";"lokal"
443010;"Sportsudstyr";1;"UD3a";"lokal"
443020;"Motionsudstyr";1;"UD3b";"lokal"
443030;"Fodboldmål";1;"UD3c";"lokal"
443500;"Bålplads / grill";1;"UD35";"lokal"
444000;"Informationsskilte";1;"UD4";"lokal"
444010;"Pictogrampæl";1;"UD4a";"lokal"
444020;"Skilt, anden";1;"UD4b";"lokal"
444030;"Plakatsøjle";1;"UD4c";"lokal"
444500;"Hundeposeholdere";1;"UD45";"lokal"
445000;"Redningspost";1;"UD5";"lokal"
445020;"Førstehjælp";1;"UD5a";"lokal"
445030;"Nødtelefon";1;"UD5b";"lokal"
446000;"Legeudstyr";1;"UD6";"lokal"
447010;"Belysning";1;"UD7a";"lokal"
447020;"Elboks";1;"UD7b";"lokal"
448010;"Låge";1;"UD8a";"lokal"
448020;"Stente";1;"UD8b";"lokal"
448050;"Port";1;"UD8e";"lokal"
448060;"Bom - punkt";1;"UD8f";"lokal"
802010;"Div. forhindring - ej pleje";1;"FO2a";"lokal"
971030;"Biodiversitet  øvrig";1;"BD1c";"lokal"
971040;"Insekthotel";1;"BD1d";"lokal"
981030;"Andet";1;"AN1c";"lokal"
982030;"Andet ansvar";1;"AN2c";"Lokal, Anvend kun, hvis ansvar er uddelegeret til andre (fx en spejdertrup). Brug kun, hvis der ikke er behov for at registrere plejeelementer på punktet."
999030;"Ukendt";1;"UK9c";"lokal"
